"Name","Type","Email","IsCompliant","ComplianceIssues","PrimaryHasAccess","FormerHasAccess","FormerIsMember","Error"
"Accounts","DistributionGroup","accounts@ibridge.co.za","True","","True","False","True",
"All Employees","DistributionGroup","allemployees@ibridge.co.za","True","","True","False","True",
"Call Centre Agents All","DistributionGroup","callcentreall@ibridge.co.za","True","","True","False","False",
"Credit Vetting Agents","DistributionGroup","creditvettingagents@ibridge.co.za","True","","True","False","False",
"Executives","DistributionGroup","Executives@ibridge.co.za","True","","True","False","False",
"Gauteng Call Centre Agents","DistributionGroup","gautengcca@ibridge.co.za","True","","True","False","False",
"HR Group","DistributionGroup","hrgroup@ibridge.co.za","True","","True","False","False",
"iBridge General Enquiries","DistributionGroup","info@ibridge.co.za","True","","True","False","False",
"JustInTime","DistributionGroup","JiT@ibridge.co.za","True","","True","False","False",
"KZN Call Centre Agents","DistributionGroup","kzncca@ibridge.co.za","True","","True","False","False",
"Learning and Development","DistributionGroup","learninganddev@ibridge.co.za","True","","True","False","False",
"MTN Escalations","DistributionGroup","cc@ibridge.co.za","True","","True","False","False",
"Ops Management","DistributionGroup","opsmanagement@ibridge.co.za","True","","True","False","False",
"Senior Managers","DistributionGroup","seniorm@ibridge.co.za","False","Primary admin not manager; Former admin still manager; Multiple managers (2); Other managers: Itumeleng.Kutumela@ibridge.co.za","False","True","False",
"Team Leaders","DistributionGroup","teamleaders@ibridge.co.za","True","","True","False","False",
